index,x,y,a1,a2
108,39.02417,-77.12475,10,0,
108,39.02489,-77.12532,6,0,
109,39.07755,-77.07084,6,0,
109,39.07833,-77.07192,18,0,
109,39.07853,-77.07441,6,0,
110,39.07061,-77.07101,6,0,
110,39.07076,-77.07278,18,0,
110,39.07228,-77.07249,6,0,
110,39.07645,-77.08064,10,0,
110,39.07755,-77.07084,6,0,
110,39.07853,-77.07441,6,0,
111,39.0202,-77.12472,10,0,
111,39.02079,-77.12229,6,0,
111,39.02246,-77.12353,10,0,
111,39.02417,-77.12475,10,0,
112,39.06994,-77.06651,18,0,
112,39.07061,-77.07101,6,0,
112,39.07245,-77.06813,6,0,
112,39.07317,-77.06549,6,0,
112,39.07755,-77.07084,6,0,
113,39.01994,-77.11369,6,0,
113,39.02264,-77.11369,14,0,
113,39.02594,-77.10776,6,0,
113,39.02916,-77.10998,6,0,
113,39.03114,-77.11368,6,0,
114,39.07061,-77.07101,6,0,
114,39.07076,-77.07278,18,0,
114,39.07228,-77.07249,6,0,
115,39.13847,-77.422,10,0,
115,39.13891,-77.41337,29,0,
115,39.14267,-77.42057,29,0,
116,39.05744,-77.08009,6,0,
116,39.05748,-77.07796,29,0,
116,39.05812,-77.08108,29,0,
117,39.09764,-77.04472,29,0,
117,39.10049,-77.04842,6,0,
117,39.10071,-77.04754,6,0,
117,39.1094,-77.04786,6,0,
118,39.10071,-77.04754,6,0,
118,39.10255,-77.04008,6,0,
118,39.10825,-77.05133,6,0,
118,39.1094,-77.04786,6,0,
118,39.11234,-77.03712,6,0,
118,39.11597,-77.0482,27,0,
119,39.03039,-77.0946,6,0,
119,39.03103,-77.09663,6,0,
119,39.03252,-77.09526,6,0,
119,39.03486,-77.09612,28,0,
120,39.00807,-77.12451,6,0,
120,39.00827,-77.11745,6,0,
120,39.0092,-77.11658,6,0,
120,39.01114,-77.11916,6,0,
120,39.01464,-77.12041,6,0,
120,39.01479,-77.11862,29,0,
121,39.00827,-77.11745,6,0,
121,39.0092,-77.11658,6,0,
121,39.0096,-77.11572,10,0,
121,39.01114,-77.11916,6,0,
122,39.03136,-77.08672,29,0,
122,39.03445,-77.08735,5,0,
122,39.03674,-77.08365,29,0,
123,39.00564,-77.11651,6,0,
123,39.00633,-77.11841,6,0,
123,39.00827,-77.11745,6,0,
123,39.0092,-77.11658,6,0,
123,39.01114,-77.11916,6,0,
124,39.00283,-77.11576,6,0,
124,39.00556,-77.11823,5,0,
124,39.00564,-77.11651,6,0,
124,39.00745,-77.11243,28,0,
124,39.00827,-77.11745,6,0,
124,39.00872,-77.11356,6,0,
125,39.00556,-77.11823,5,0,
125,39.00633,-77.11841,6,0,
125,39.00827,-77.11745,6,0,
126,39.00102,-77.12128,6,0,
126,39.00283,-77.11576,6,0,
126,39.00312,-77.12071,4,0,
126,39.00431,-77.12069,6,0,
127,39.00431,-77.12069,6,0,
127,39.00556,-77.11823,5,0,
127,39.00564,-77.11651,6,0,
127,39.00633,-77.11841,6,0,
128,39.00457,-77.11069,29,0,
128,39.00655,-77.11179,28,0,
128,39.00745,-77.11243,28,0,
129,39.0202,-77.08252,29,0,
129,39.02078,-77.08556,29,0,
129,39.02085,-77.08665,6,0,
130,39.03976,-77.07007,6,0,
130,39.04021,-77.07279,6,0,
130,39.04072,-77.07101,6,0,
130,39.0424,-77.07127,6,0,
131,38.97127,-77.13941,10,0,
131,38.97169,-77.14302,18,0,
131,38.97823,-77.15934,10,0,
132,39.03095,-77.07537,18,0,
132,39.03318,-77.07328,8,0,
132,39.03384,-77.07504,8,0,
132,39.0348,-77.07515,8,0,
133,38.99691,-77.09662,28,0,
133,38.99957,-77.09691,28,0,
133,39.00018,-77.10956,28,0,
133,39.00555,-77.0914,6,0,
133,39.00653,-77.09731,28,0,
134,39.05525,-77.05016,28,0,
134,39.05527,-77.05015,6,0,
134,39.0567,-77.04886,28,0,
134,39.05761,-77.05218,28,0,
135,39.04716,-77.05324,6,0,
135,39.04972,-77.05402,3,0,
135,39.04974,-77.05401,6,0,
136,39.04097,-77.05154,14,0,
136,39.04105,-77.05316,22,0,
136,39.0411,-77.05309,22,0,
136,39.04153,-77.05172,22,0,
137,39.04148,-77.04932,18,0,
137,39.0416,-77.05035,2,0,
137,39.04163,-77.0503,18,0,
137,39.04243,-77.05009,18,0,
138,39.04317,-77.04608,8,0,
138,39.04332,-77.04796,8,0,
138,39.04336,-77.04789,8,0,
138,39.04491,-77.04794,18,0,
139,39.02446,-77.05405,6,0,
139,39.02805,-77.05503,6,0,
139,39.02811,-77.05291,6,0,
139,39.02887,-77.05514,5,0,
140,39.04212,-77.04355,6,0,
140,39.04305,-77.04382,6,0,
140,39.04317,-77.04608,8,0,
140,39.0484,-77.04424,6,0,
141,39.06651,-77.03039,18,0,
141,39.06901,-77.02384,10,0,
141,39.06971,-77.02155,18,0,
142,38.98889,-77.09621,28,0,
142,38.98897,-77.09734,6,0,
142,38.98984,-77.09644,6,0,
142,38.98989,-77.09642,6,0,
143,38.98891,-77.09737,6,0,
143,38.98897,-77.09734,6,0,
143,38.98936,-77.09812,24,0,
143,38.98984,-77.09644,6,0,
144,39.00393,-77.07748,28,0,
144,39.00545,-77.07712,28,0,
144,39.00574,-77.07582,28,0,
144,39.00933,-77.08087,5,0,
145,39.02446,-77.05405,6,0,
145,39.02805,-77.05503,6,0,
145,39.02811,-77.05291,6,0,
145,39.02839,-77.04716,6,0,
145,39.0319,-77.05018,5,0,
146,38.99987,-77.07697,18,0,
146,39.00393,-77.07748,28,0,
146,39.00545,-77.07712,28,0,
147,39.02135,-77.05818,6,0,
147,39.02289,-77.0499,14,0,
147,39.02446,-77.05405,6,0,
147,39.02805,-77.05503,6,0,
147,39.02811,-77.05291,6,0,
148,38.9901,-77.08944,6,0,
148,38.99078,-77.08951,6,0,
148,38.99088,-77.0876,22,0,
149,39.01994,-77.05091,6,0,
149,39.02289,-77.0499,14,0,
149,39.02404,-77.04697,6,0,
149,39.02446,-77.05405,6,0,
150,38.98363,-77.09385,6,0,
150,38.9841,-77.09088,6,0,
150,38.98414,-77.09406,27,0,
150,38.98505,-77.09111,2941,0,
150,38.98529,-77.08932,6,0,
150,38.98712,-77.09158,6,0,
151,38.97995,-77.09304,6,0,
151,38.98096,-77.09571,6,0,
151,38.98101,-77.09512,6,0,
151,38.98129,-77.09275,6,0,
151,38.98225,-77.09319,29,0,
152,38.98046,-77.08562,6,0,
152,38.98279,-77.08997,29,0,
152,38.9841,-77.09088,6,0,
152,38.98439,-77.08884,6,0,
152,38.98529,-77.08932,6,0,
152,38.98594,-77.0868,22,0,
153,38.98046,-77.08562,6,0,
153,38.98129,-77.09275,6,0,
153,38.98225,-77.09319,29,0,
153,38.98279,-77.08997,29,0,
153,38.9841,-77.09088,6,0,
153,38.98439,-77.08884,6,0,
154,38.97132,-77.08949,6,0,
154,38.97718,-77.08958,28,0,
154,38.97721,-77.0907,6,0,
154,38.98046,-77.08562,6,0,
155,38.98412,-77.08324,6,0,
155,38.98447,-77.08556,6,0,
155,38.98457,-77.08471,5,0,
155,38.98526,-77.08363,6,0,
156,39.13871,-76.98799,6,0,
156,39.14222,-76.99006,2942,0,
156,39.14516,-76.99187,6,0,
157,39.02053,-77.04444,28,0,
157,39.02222,-77.0451,3,0,
157,39.02227,-77.04507,3,0,
158,38.98628,-77.07961,6,0,
158,38.98666,-77.08018,10,0,
158,38.98738,-77.08114,6,0,
159,39.00774,-77.04926,6,0,
159,39.00948,-77.04896,14,0,
159,39.00972,-77.04449,6,0,
159,39.01056,-77.05835,6,0,
159,39.01453,-77.05188,27,0,
159,39.01782,-77.0458,6,0,
160,39.04129,-77.02146,6,0,
160,39.04435,-77.03456,29,0,
160,39.04559,-77.02488,6,0,
160,39.05078,-77.02479,6,0,
161,38.98222,-77.07928,6,0,
161,38.98301,-77.07941,6,0,
161,38.98304,-77.07716,18,0,
161,38.98412,-77.08324,6,0,
161,38.98628,-77.07961,6,0,
162,38.98046,-77.08562,6,0,
162,38.98104,-77.08323,10,0,
162,38.98222,-77.07928,6,0,
162,38.98412,-77.08324,6,0,
163,39.13132,-76.97917,2942,0,
163,39.13871,-76.98799,6,0,
163,39.14203,-76.97144,6,0,
164,38.96359,-77.10657,6,0,
164,38.96461,-77.10341,14,0,
164,38.96472,-77.10362,6,0,
164,38.9689,-77.10301,6,0,
165,38.96349,-77.09102,12,0,
165,38.96523,-77.09741,6,0,
165,38.96618,-77.09656,6,0,
165,38.96953,-77.09753,6,0,
166,39.00745,-77.04347,6,0,
166,39.00948,-77.04896,14,0,
166,39.00972,-77.04449,6,0,
166,39.01339,-77.04191,6,0,
167,38.95045,-77.10413,29,0,
167,38.95289,-77.10014,6,0,
167,38.95512,-77.09898,6,0,
167,38.95537,-77.10235,5,0,
167,38.95673,-77.10311,6,0,
167,38.9568,-77.099,6,0,
168,38.94535,-77.1176,18,0,
168,38.94961,-77.10759,6,0,
168,38.95344,-77.11665,6,0,
169,39.06967,-76.9953,29,0,
169,39.07366,-76.98999,29,0,
169,39.07372,-76.99773,28,0,
169,39.07552,-76.99396,6,0,
169,39.07722,-76.98867,29,0,
169,39.08174,-77.00087,29,0,
170,39.0059,-77.04299,6,0,
170,39.00665,-77.04323,14,0,
170,39.00745,-77.04347,6,0,
171,38.99123,-77.0536,10,0,
171,38.99384,-77.05206,10,0,
171,38.99414,-77.04964,10,0,
171,38.99512,-77.05426,14,0,
172,38.96342,-77.08823,6,0,
172,38.96383,-77.08722,6,0,
172,38.96492,-77.08775,29,0,
172,38.97132,-77.08949,6,0,
173,39.05685,-76.99697,6,0,
173,39.05823,-76.99157,6,0,
173,39.05956,-76.99632,6,0,
173,39.06748,-76.99762,2941,0,
174,39.05533,-76.99558,27,0,
174,39.05685,-76.99697,6,0,
174,39.05956,-76.99632,6,0,
175,38.96191,-77.08625,6,0,
175,38.96342,-77.08823,6,0,
175,38.96383,-77.08722,6,0,
175,38.96492,-77.08775,29,0,
176,38.95182,-77.09931,6,0,
176,38.95276,-77.0975,5,0,
176,38.95377,-77.09621,6,0,
176,38.95512,-77.09898,6,0,
177,38.96017,-77.08655,6,0,
177,38.96085,-77.08577,22,0,
177,38.96191,-77.08625,6,0,
178,38.95182,-77.09931,6,0,
178,38.95276,-77.0975,5,0,
178,38.95289,-77.10014,6,0,
179,39.06802,-76.98839,29,0,
179,39.06967,-76.9953,29,0,
179,39.07366,-76.98999,29,0,
179,39.07552,-76.99396,6,0,
179,39.07722,-76.98867,29,0,
180,38.99946,-77.03188,24,0,
180,38.99953,-77.03189,28,0,
180,39.00832,-77.03008,28,0,
181,39.03408,-77.00451,6,0,
181,39.0346,-76.99848,29,0,
181,39.03547,-76.99706,6,0,
181,39.03698,-76.99963,6,0,
181,39.03774,-76.99773,6,0,
181,39.04108,-77.00085,21,0,
182,38.99212,-77.03632,6,0,
182,38.9924,-77.03601,2942,0,
182,38.99266,-77.03639,2942,0,
183,38.9977,-77.02699,6,0,
183,38.99902,-77.02625,22,0,
183,38.99904,-77.02617,6,0,
183,38.99969,-77.02795,6,0,
184,38.99686,-77.02543,6,0,
184,38.99688,-77.02544,6,0,
184,38.9977,-77.02699,6,0,
184,38.99788,-77.0247,6,0,
185,38.99454,-77.02804,18,0,
185,38.99455,-77.02689,22,0,
185,38.99455,-77.028,18,0,
185,38.99606,-77.02821,18,0,
186,39.0309,-76.99347,6,0,
186,39.0346,-76.99848,29,0,
186,39.03547,-76.99706,6,0,
186,39.03651,-76.9959,18,0,
186,39.03698,-76.99963,6,0,
186,39.03774,-76.99773,6,0,
187,38.9979,-77.02464,18,0,
187,38.99807,-77.02307,10,0,
187,38.99812,-77.02309,18,0,
188,38.99788,-77.0247,6,0,
188,38.9979,-77.02464,18,0,
188,38.99812,-77.02309,18,0,
189,38.99688,-77.02544,6,0,
189,38.99788,-77.0247,6,0,
189,38.9979,-77.02464,18,0,
189,38.99904,-77.02617,6,0,
190,38.99157,-77.02781,22,0,
190,38.99247,-77.02891,4,0,
190,38.99249,-77.02665,22,0,
190,38.9925,-77.02755,22,0,
190,38.99299,-77.02666,6,0,
190,38.99339,-77.02798,22,0,
191,39.10449,-76.959,6,0,
191,39.11069,-76.96292,29,0,
191,39.1117,-76.9472,6,0,
191,39.11451,-76.95431,6,0,
191,39.11975,-76.96556,6,0,
192,38.98158,-77.0228,27,0,
192,38.98452,-77.02661,18,0,
192,38.98453,-77.02661,18,0,
193,38.98452,-77.02661,18,0,
193,38.98453,-77.02661,18,0,
193,38.98455,-77.02663,22,0,
194,39.06125,-76.96738,6,0,
194,39.06305,-76.97241,4,0,
194,39.06511,-76.96468,6,0,
194,39.06643,-76.96739,6,0,
194,39.06978,-76.96246,6,0,
194,39.07067,-76.97063,27,0,
195,39.00975,-76.99982,14,0,
195,39.00981,-76.99984,14,0,
195,39.01088,-76.99982,5,0,
196,39.10766,-76.93831,5,0,
196,39.1117,-76.9472,6,0,
196,39.11451,-76.95431,6,0,
197,39.06511,-76.96468,6,0,
197,39.06643,-76.96739,6,0,
197,39.06797,-76.95924,29,0,
197,39.06978,-76.96246,6,0,
197,39.07304,-76.95957,6,0,
197,39.07468,-76.96361,18,0,
198,39.06125,-76.96738,6,0,
198,39.0627,-76.96273,28,0,
198,39.06501,-76.96062,10,0,
198,39.06511,-76.96468,6,0,
198,39.06643,-76.96739,6,0,
198,39.06978,-76.96246,6,0,
199,39.07304,-76.95957,6,0,
199,39.07336,-76.95416,6,0,
199,39.0734,-76.95576,18,0,
200,38.99959,-76.99537,18,0,
200,38.99966,-76.99528,29,0,
200,39.00153,-76.9956,29,0,
201,39.01164,-76.97984,6,0,
201,39.01249,-76.9797,6,0,
201,39.01318,-76.97934,6,0,
201,39.01387,-76.98418,14,0,
202,38.98188,-76.99689,8,0,
202,38.98335,-77.00033,29,0,
202,38.9883,-77.0008,8,0,
203,38.99416,-76.99258,28,0,
203,38.99422,-76.99258,28,0,
203,38.9956,-76.99223,28,0,
204,38.99422,-76.99258,28,0,
204,38.9956,-76.99223,28,0,
204,38.99676,-76.99192,29,0,
205,39.0116,-76.97982,28,0,
205,39.01164,-76.97984,6,0,
205,39.01249,-76.9797,6,0,
206,38.99268,-76.99148,28,0,
206,38.99383,-76.99113,28,0,
206,38.99416,-76.99258,28,0,
206,38.99422,-76.99258,28,0,
207,39.08105,-76.94633,18,0,
207,39.08106,-76.94638,18,0,
207,39.08214,-76.94728,6,0,
208,38.98898,-76.98772,28,0,
208,38.99268,-76.99148,28,0,
208,38.99281,-76.99126,2,0,
208,38.99383,-76.99113,28,0,
209,39.08946,-76.94011,6,0,
209,39.08999,-76.93828,6,0,
209,39.09,-76.93964,21,0,
210,39.07726,-76.93845,5,0,
210,39.07833,-76.94107,5,0,
210,39.07879,-76.93767,5,0,
210,39.079,-76.93995,29,0,
210,39.08206,-76.93929,5,0,
211,39.08474,-76.93659,21,0,
211,39.08909,-76.93687,6,0,
211,39.08999,-76.93828,6,0,
211,39.09029,-76.9343,6,0,
212,39.07879,-76.93767,5,0,
212,39.079,-76.93995,29,0,
212,39.08135,-76.9368,5,0,
212,39.08206,-76.93929,5,0,
212,39.08303,-76.93855,5,0,
212,39.08327,-76.94235,4,0,
213,39.07726,-76.93845,5,0,
213,39.07879,-76.93767,5,0,
213,39.079,-76.93995,29,0,
213,39.08135,-76.9368,5,0,
213,39.08206,-76.93929,5,0,
214,39.07635,-76.94006,5,0,
214,39.07726,-76.93845,5,0,
214,39.07879,-76.93767,5,0,
214,39.079,-76.93995,29,0,
215,39.08443,-76.93222,6,0,
215,39.08909,-76.93687,6,0,
215,39.09029,-76.9343,6,0,
215,39.09255,-76.92949,29,0,
215,39.09316,-76.93729,5,0,
215,39.09423,-76.93125,6,0,
216,39.07879,-76.93767,5,0,
216,39.08127,-76.9355,6,0,
216,39.08135,-76.9368,5,0,
216,39.08199,-76.93626,18,0,
216,39.08206,-76.93929,5,0,
216,39.08303,-76.93855,5,0,
